gname,alias,ra,dec,glong,glat,plx,e_plx,mux_med,mux_std,muy_med,muy_std,vlsr_med,vlsr_std,x_mode,x_halfhpd,x_hpdlow,x_hpdhigh,y_mode,y_halfhpd,y_hpdlow,y_hpdhigh,z_mode,z_halfhpd,z_hpdlow,z_hpdhigh,vx_mode,vx_halfhpd,vx_hpdlow,vx_hpdhigh,vy_mode,vy_halfhpd,vy_hpdlow,vy_hpdhigh,vz_mode,vz_halfhpd,vz_hpdlow,vz_hpdhigh,R_mode,R_halfhpd,R_hpdlow,R_hpdhigh,az_mode,az_halfhpd,az_hpdlow,az_hpdhigh,Upec_mode,Upec_halfhpd,Upec_hpdlow,Upec_hpdhigh,Vpec_mode,Vpec_halfhpd,Vpec_hpdlow,Vpec_hpdhigh,Wpec_mode,Wpec_halfhpd,Wpec_hpdlow,Wpec_hpdhigh,is_tooclose,is_outlier
G359.13+00.03,,265.85671208333326,-29.654875277777787,359.13734970150324,0.03164965568619413,0.165,0.031,-3.987012307140648,0.3609195960341387,-6.493996562569765,0.7880209721982089,-0.9272605748667649,9.977190932982298,-0.08554932183925704,0.016896449443709605,-0.10545831653262028,-0.07166541764520107,2.4941957155465264,1.1240741597270176,1.169705232767404,3.4178535522214393,0.004533530053244542,0.0027763737673172258,0.0019636634256451242,0.007516410960279576,45.26226645683198,46.114331338731574,-10.939574862247127,81.28908781521602,4.0745094379922975,10.192002147784489,-6.356367760130887,14.027636535438091,7.374185845261678,15.103518170344572,-7.447023574235331,22.760012766453812,2.4780381575662966,1.0386827107099426,1.2366856496446579,3.3140510710645428,357.19606932474306,5.610026040606186,348.1131700209045,359.33322210211685,-2.8144375350496773,11.292227929814757,-14.27272764030289,8.311728219326625,-139.94554847766946,27.245150968299406,-167.75830675780844,-113.26800482120963,7.374185845261678,15.103518170344572,-7.447023574235331,22.760012766453812,1,0
G359.93-00.14,,266.5079929166666,-29.066298333333336,359.9358046522043,-0.14465979579567287,0.18100000000000002,0.028999999999999998,-1.3242956939255177,0.4420269518473271,-1.7857377952091693,0.7819624772864454,-9.992532793790105,10.08847434683634,-0.005841029664725928,0.0009979302650330937,-0.007081699723956262,-0.005085839193890074,2.9671663518138294,0.8927078119208591,1.8573133964527608,3.642729020294479,-0.014049418620787638,0.004830444241575301,-0.018198646366756166,-0.008537757883605564,191.53564602547948,21.428588770340497,169.22643031937156,212.08360786005255,8.85025113997403,10.33865504555561,-0.6299596238206462,20.047350467290574,15.208396228935136,14.981411370108638,-1.855632865269321,28.107189874947956,2.97395117558154,0.8771040716922099,1.8648856964996547,3.6190938398840746,359.77443376784845,2.2499725074298738,355.4544865535831,359.9544315684428,-8.24860628492705,10.739949335384333,-19.60579408786221,1.8741045829064547,-8.17942999034193,29.082386154071116,-33.84035894981645,24.324413358325785,15.208396228935136,14.981411370108638,-1.855632865269321,28.107189874947956,1,0
G000.37+00.03,,266.58917166666663,-28.59439472222222,0.3758705159499473,0.03998288982206162,0.125,0.047,-0.768868350469027,0.27894132316222897,-2.6707603080864297,0.3958726723912597,37.069794739889375,10.044274333419246,0.044639396649365615,0.018401072107992314,0.030461521418617438,0.06726366563460207,1.3830213861107197,2.8014803723117865,-2.06142169460049,3.541539050023083,0.005606726200789405,0.003030068338900259,0.0025766578618891395,0.008636794539689657,163.06264360161686,38.3070352057328,115.27366898852449,191.8877393999901,-38.95847175426058,10.108793070429293,-48.224865402154094,-28.00727926129551,-15.054256124288884,15.835193434585562,-33.299152907615735,-1.6287660384446099,1.2749444220590853,1.5066276334456024,0.09407411476388347,3.107329381655088,2.3722410833264442,89.66520063784351,0.21812214908395713,179.548523424771,33.15963643479924,51.653094983217635,-55.93894232413096,47.36724764230431,-3.890057916725368,198.08921101905023,-326.88454408988366,69.29387794821679,-15.054256124288884,15.835193434585562,-33.299152907615735,-1.6287660384446099,1,0
G000.67-00.03,SgrB2,266.8333333333333,-28.37777777777778,0.6723936512495867,-0.031085589754245226,0.129,0.012,-0.7854606845766757,0.4007480495463837,-4.247339926120919,0.40242653996824074,62.09487961976123,4.981157117779874,0.08956865209100276,0.008493976712987912,0.08153798319872328,0.0985259366246991,0.5809817212029813,0.724805093911367,-0.22581489916894704,1.223795288653787,-0.004381371524221406,0.001126451611062805,-0.005244185524184406,-0.002991282302058796,100.99812112310838,20.48434565844807,80.9218301590517,121.89052147594784,-65.00048000481787,5.181973509652558,-69.2863227571621,-58.92237573785698,-43.977085742850846,15.887269372507745,-64.1550775006344,-32.380538755618915,0.1897027136992545,0.4043968790321619,0.09527501605722682,0.9040687741215507,7.658034801342949,86.94415633252389,1.6557986281331776,175.54411129318095,51.678916850435655,79.96506303061307,-89.6898180619842,70.24030799924194,5.793094468949164,60.32977704619523,-38.937394431345126,81.72215966104534,-43.977085742850846,15.887269372507745,-64.1550775006344,-32.380538755618915,1,0
G001.00-00.23,,267.23035208333334,-28.19673333333333,1.0080088997502157,-0.2369146459410753,0.09,0.057,-3.867080417711316,0.2805086076817398,-6.225685740335408,0.5646796529093558,2.064591400218895,5.019794598601674,0.13548927075201883,0.08801136278878888,0.07955681589559227,0.25557954147317,0.4803074665651721,4.993805343419194,-6.333669917913355,3.6539407689250325,-0.03281004989961828,0.023963165408831616,-0.06435131035226843,-0.0164249795346052,-19.127342488822478,176.34584270961386,-257.9290044914244,94.76268092780333,-9.574454727933286,6.745126328883828,-15.92636741432613,-2.4361147565584744,11.341989030230451,20.932293841781544,-7.79610819654124,34.06847948702185,1.5979286672278128,3.117868457015831,0.14292338728709159,6.378660301318754,176.29834551692448,89.07099632891158,0.6528372406924485,178.7948298985156,0.851216092569814,7.17304668720841,-5.743359087605661,8.60273428681116,-74.42675275969285,100.93440957374312,-172.05183742937882,29.816981718107428,11.341989030230451,20.932293841781544,-7.79610819654124,34.06847948702185,1,0
G001.14-00.12,,267.2022541666667,-28.01981944444445,1.1468590971627388,-0.12451539666452208,0.19399999999999998,0.161,0.8243333375914088,0.3272680560901284,-3.600368701962132,0.6968353134669705,-15.978896562369524,2.9919995609221965,0.0688878250689527,0.05402302643269849,0.02800553479555925,0.13605158766095624,4.767851849461643,2.723985833358139,1.314226953596858,6.762198620313136,-0.008923561928344953,0.011358142884063283,-0.02001127283897816,0.0027050129291484037,205.31193078169997,38.33272451660599,156.97936508684893,233.64481412006091,14.206741801806016,3.4978538247182476,10.946606198185124,17.94231384762162,-32.56235552157159,35.28812936040168,-76.9992591605959,-6.423000439792531,4.907411004900762,2.122927282804834,2.076841294494317,6.322695860103985,1.6544400545881723,88.12969683141029,0.22579248690573625,176.4851861497263,-18.373935405875272,9.292058749152432,-28.41363106587906,-9.829513567574196,-22.79716730239079,41.24566108016498,-61.51758382662729,20.97373833370267,-32.56235552157159,35.28812936040168,-76.9992591605959,-6.423000439792531,0,1
G002.70+00.04,,267.9415691666667,-26.599186111111113,2.703329806207946,0.04008424737831133,0.10099999999999999,0.105,-3.141836334941659,0.8713461214757356,-9.356536818102645,1.2272841066043947,93.0393310617095,5.043980424028162,0.25730235402714197,0.2113811663985093,0.11865449219586167,0.5414168249928802,2.6958579705793184,4.471417790062045,-3.314112177353536,5.628723402770554,0.0055690249113835855,0.005219296108582183,0.0004907908597901189,0.010929383076954485,2.505521068694179,206.97448071704866,-274.3927707014118,139.55619073268554,-106.58940395948854,12.319140297489398,-120.7979829529119,-96.1597023579331,-41.985873823912925,58.591425860887966,-116.92839527388583,0.2544564478901066,2.496591982626215,2.3422341833694715,0.38236289675288676,5.06683126349183,6.0741276948597935,87.99014670581595,0.7894341990149918,176.7697276106469,103.47225634376875,111.86850154945898,-96.00846972015326,127.72853337876472,-163.3961500250811,201.63744315044272,-260.83169302395277,142.44319327693267,-41.985873823912925,58.591425860887966,-116.92839527388583,0.2544564478901066,1,0
G009.21-00.20,,271.72017541666673,-21.07441055555556,9.214501562373684,-0.20178401986576253,0.303,0.096,-0.4025209585458323,0.4425606657969115,-1.6792686235559096,0.4960361888137916,42.889139355395216,4.987913950423298,0.46409816449639196,0.17011008033256295,0.34103980851113364,0.6812599691762595,5.3046975724264485,1.0486788009873713,4.010583307378205,6.107940909352948,-0.00995397919953847,0.008810808085037869,-0.018526657336332075,-0.0009050411662563373,230.03199978607518,11.780719755687329,216.2878267377733,239.84926624914795,-45.28738701843787,5.676522325187754,-51.013270407322906,-39.6602257569474,1.6516818221403184,7.855545981725044,-6.64851770572011,9.062574257729977,5.372773604117313,0.9713511961507537,4.10254511684325,6.045247509144757,5.791328657540204,4.255502462039246,2.11991476872203,10.630919692800521,22.907372085129055,14.442024351598477,6.568920293421655,35.45296899661861,-1.0358274883948866,13.576012857507266,-14.109025054883375,13.043000660131156,1.6516818221403184,7.855545981725044,-6.64851770572011,9.062574257729977,0,0
G009.62+00.19,,271.5610833333334,-20.52547222222222,9.621176471063592,0.195793505394722,0.19399999999999998,0.023,-0.5818055745173378,0.12965317934781678,-2.4885327000609356,0.2913093104128297,1.9289458486760849,3.0200816072727785,0.8382753516765025,0.10278728378067425,0.7478606113138724,0.9534351788752209,3.237654168518827,0.6060881776058482,2.5529990049270355,3.765175360138732,0.02044253976403415,0.0049754158609106374,0.015167400056080702,0.025118231777901977,187.82610143220342,9.945757166826112,177.45531190782063,197.34682624147285,-10.434224732875322,3.630839836245939,-14.020965299855115,-6.759285627363237,-9.607878173638827,5.026374044642228,-14.089223707416235,-4.036475618131778,3.3396223289959996,0.5561008092913369,2.7083727616923197,3.8205743802749934,13.825721918739816,4.572228536870888,10.282244802664877,19.426701876406653,-35.62500901675128,12.464011063886232,-50.89342257001192,-25.965400442239456,-26.440410221291472,8.666534149181459,-34.86620731077346,-17.533139012410544,-9.607878173638827,5.026374044642228,-14.089223707416235,-4.036475618131778,1,0
G010.32-00.15,,272.25606208333335,-20.085515,10.322582065798148,-0.15976309095023986,0.34299999999999997,0.035,-1.0330085140516507,0.3595929514096158,-2.4167594776694505,0.495858477835434,9.995270096824765,4.996518176986541,0.5112521808720433,0.05290476638129002,0.4652293353208397,0.5710388680834197,5.360400312358372,0.29164443839574483,5.041598699537112,5.624887576328602,-0.005095855704231218,0.0075103301273481415,-0.012361947453454217,0.0026587128012420663,212.34778372709218,7.9365553444549874,204.3790965796232,220.25220726853317,-14.020477333756133,5.343120044331652,-20.019073071258582,-9.332832982595278,3.5159827122503877,5.611263617882239,-1.1917723569897944,10.030754878774683,5.383827508464261,0.28508071510655997,5.072414036540629,5.642575466753749,5.411526642961786,0.8622904456322971,4.651686547305603,6.376267438570197,-6.133136338393349,5.877722660196314,-12.303619131089864,-0.5481738106972358,-25.19198083229349,9.618638727650005,-32.81939259527209,-13.582115139972082,3.5159827122503877,5.611263617882239,-1.1917723569897944,10.030754878774683,0,0
